Designator,Footprint,Quantity,Value,LCSC Part #
"C1, CIN1, CIN2",1206,3,2.2 uF,
"C10, C11",1206,2,100 nF,
"C2, C3, C4",1206,3,0.1 uF,
"C6, C7",1206,2,47 pF,
"COUT1, COUT2",1210,2,23.7 uF,
F1,1206,1,4A,
F2,1206,1,3A,
J10,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Laser Port,
J6,PinHeader_1x04_P2.54mm_Vertical,1,I2C Port,
J9,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Force Sensor,
L1,IND_1217AS-H-2R2N=P3,1,2.2 uH,
"LED1, LED2, LED3, LED4",LED_LTST-C170GKT_LTO,4,Green,
"Q1, Q4",SOT95P285X140-6N,2,DMMT5401 PNP,
Q2,SOT-23_Handsoldering,1,SSM3J332R,
Q3,SOT-23_Handsoldering,1,DMG2305UX-EV,
"Q5, Q6, Q7",SOT-23_Handsoldering,3,"T2N7002BK,LM",
"R11, R2",1206,2,47 kOhm,
R13,1206,1,90 kOhm,
R14,1206,1,80.6 kOhm,
"R19, R20",1206,2,49.9 Ohm,
R3,1206,1,1.5 kOhm,
R4,1206,1,665 Ohm,
R7,1206,1,20 kOhm,
R8,1206,1,9.5 kOhm,
R9,1206,1,49.9 kOhm,
U1,Converter_DCDC_TRACO_TSR-1_THT,1,3.3V Buck,
U2,Converter_DCDC_TRACO_TSR-1_THT,1,12V Buck,
U3,21-100701_90-100241_ADI,1,MAX42403AFLB+,
U4,SOIC14_SL_MCH,1,MCP6004,
U5,IC_MCP3021A0T-E_OT,1,MCP3021A5T-E_OT,
