Designator,Mid X,Mid Y,Rotation,Layer
C1,142.232258,-111.790148,0.0,top
C10,189.429667,-96.26488,180.0,top
C11,189.4,-84.932373,180.0,top
C2,144.7,-102.3,270.0,top
C3,149.8,-113.1,180.0,top
C4,149.8,-101.1,180.0,top
C5,163.4625,-105.0,180.0,top
C6,161.8,-115.4,90.0,top
C7,171.7,-107.75,180.0,top
C8,178.4,-109.8,180.0,top
C9,178.4,-112.15,180.0,top
CIN1,149.8,-116.1,180.0,top
CIN2,149.8,-98.1,180.0,top
COUT1,158.1375,-113.1,180.0,top
COUT2,158.1375,-101.1,180.0,top
C_OPT1,178.4,-118.25,180.0,top
F1,127.865917,-111.515805,0.0,top
F2,175.0,-124.8,270.0,bottom
J1,120.707,-114.086,90.0,top
J10,186.984,-77.47,180.0,top
J11,147.6,-125.0,90.0,bottom
J2,120.707,-99.608,90.0,top
J3,153.162,-74.25,90.0,top
J4,153.162,-77.8,90.0,top
J5,147.73,-131.73,270.0,top
J6,186.436,-122.936,180.0,top
J7,185.166,-100.07488,180.0,top
J8,185.136333,-88.742373,180.0,top
J9,188.976,-111.292,90.0,top
L1,154.3625,-107.1,180.0,top
LED1,136.098667,-88.7,90.0,top
LED2,132.5,-88.7,90.0,top
LED3,139.697333,-88.7,90.0,top
LED4,143.3,-88.7,90.0,top
Q1,130.92425,-117.602,90.0,top
Q2,133.115917,-111.509805,0.0,top
Q3,163.5,-101.75,0.0,top
Q4,162.7,-96.4,270.0,top
Q5,178.7,-89.95,180.0,top
Q6,176.75,-104.0,90.0,top
Q7,176.75,-97.0,90.0,top
R1,127.762,-117.348,90.0,top
R10,158.2,-94.7,180.0,top
R11,158.2,-97.0,180.0,top
R12,165.18,-116.73,270.0,top
R13,165.18,-111.83,270.0,top
R14,171.7,-105.4,0.0,top
R15,169.617096,-102.797864,0.0,top
R16,169.617096,-100.497864,0.0,top
R17,169.617096,-98.197864,0.0,top
R18,169.617096,-95.897864,0.0,top
R19,179.75,-104.25,90.0,top
R2,134.112,-117.348,270.0,top
R20,180.0,-96.5,90.0,top
R21,178.075,-85.5,90.0,top
R22,175.75,-85.5,270.0,top
R23,180.4,-85.5,90.0,top
R3,132.5,-84.3,90.0,top
R4,136.1,-84.3,90.0,top
R5,139.7,-84.3,90.0,top
R6,143.3,-84.3,90.0,top
R7,142.232258,-109.416815,180.0,top
R8,142.232258,-116.516815,180.0,top
R9,142.232258,-114.163482,0.0,top
U1,126.75,-85.46,90.0,top
U2,129.6355,-102.362,270.0,top
U3,145.1,-108.9,90.0,top
U4,171.4,-113.54,0.0,top
U5,178.4,-115.2,0.0,top
