Designator,Mid X,Mid Y,Rotation,Layer
C1,144.7,-102.3,270.0,top
C13,171.7,-107.75,180.0,top
C3,161.8,-115.4,90.0,top
C5,149.8,-113.1,180.0,top
C7,149.8,-101.1,180.0,top
C8,142.232258,-111.790148,0.0,top
CIN1,149.8,-116.1,180.0,top
CIN2,149.8,-98.1,180.0,top
COUT1,158.1375,-113.1,180.0,top
COUT2,158.1375,-101.1,180.0,top
F1,128.5,-112.75,0.0,top
F2,175.0,-124.8,270.0,bottom
J1,119.636333,-115.475,270.0,top
J10,185.136333,-103.245,180.0,top
J11,185.136333,-91.94,180.0,top
J12,185.136333,-125.005,180.0,top
J13,147.6,-125.0,90.0,bottom
J15,147.73,-131.73,270.0,top
J2,140.716333,-77.825,90.0,top
J3,119.636333,-103.975,270.0,top
J4,151.886333,-77.825,90.0,top
J5,159.256333,-77.825,90.0,top
J6,165.381333,-77.825,90.0,top
J7,149.576333,-74.225,90.0,top
J8,189.75,-115.475,90.0,top
J9,189.75,-80.25,90.0,top
L1,154.3625,-107.1,180.0,top
LED1,132.5,-88.7,90.0,top
LED2,136.098667,-88.7,90.0,top
LED3,139.697333,-88.7,90.0,top
LED4,143.3,-88.7,90.0,top
Q2,133.75,-112.5,0.0,top
Q3,177.8,-107.5,90.0,top
Q4,128.636333,-117.975,90.0,top
Q5,162.7,-99.2,270.0,top
Q6,178.7,-89.95,180.0,top
Q7,176.75,-98.5,90.0,top
Q8,163.2,-104.5,0.0,top
R1,142.232258,-114.163482,0.0,top
R10,136.1,-84.3,90.0,top
R11,139.7,-84.3,90.0,top
R12,143.3,-84.3,90.0,top
R13,132.636333,-120.5,0.0,top
R14,133.3,-116.9,270.0,top
R15,181.0,-98.5,90.0,top
R16,171.7,-105.4,0.0,top
R17,164.7,-110.7,270.0,top
R18,164.7,-115.6,270.0,top
R19,178.075,-85.5,90.0,top
R2,142.232258,-116.516815,180.0,top
R20,169.617096,-102.797864,0.0,top
R21,169.617096,-95.897864,0.0,top
R22,169.617096,-100.497864,0.0,top
R23,169.617096,-98.197864,0.0,top
R24,175.75,-85.5,270.0,top
R25,158.2,-96.95,180.0,top
R26,158.2,-94.6,180.0,top
R3,142.232258,-109.416815,180.0,top
R5,181.0,-107.5,90.0,top
R6,180.4,-85.5,90.0,top
R9,132.5,-84.3,90.0,top
U2,145.1,-108.9,90.0,top
U3,170.7,-113.54,0.0,top
U4,132.136333,-103.8675,90.0,top
U5,178.25,-117.75,0.0,top
U6,126.75,-91.21,90.0,top
